best,Tracks,Artists,Albums
0,Love Is Alive,Louis The Child,Love Is Alive
1,Late Night,ODESZA,A Moment Apart (Deluxe Edition)
2,Electric Feel,MGMT,Oracular Spectacular
3,New Theory,Washed Out,Life of Leisure
4,Warm Thoughts,Flume,Flume
5,Lose My Mind (feat. Mr Gabriel),Jai Wolf,The Cure To Loneliness
6,It's Strange,Louis The Child,It's Strange
7,Sun Models (feat. Madelyn Grant),ODESZA,In Return
8,Playing with Fire,Nick Leng,Drivers
9,Patience,Tame Impala,Patience
10,Higher Ground (feat. Naomi Wild),ODESZA,A Moment Apart
11,Saltwater,Geowulf,Saltwater
12,The Moment,Tame Impala,Currents
13,The Less I Know The Better,Tame Impala,Currents
14,Roses,The Chainsmokers,Roses
15,Doses & Mimosas,Cherub,Year of the Caprese
16,Young Blood,The Naked And Famous,"Passive Me, Aggressive You"
17,I Love My Friends,Foster The People,Sacred Hearts Club
18,Punching In A Dream,The Naked And Famous,"Passive Me, Aggressive You"
19,Half Mast,Empire of the Sun,Walking On A Dream
20,Walking On A Dream,Empire of the Sun,Walking On A Dream
21,1901,Phoenix,Wolfgang Amadeus Phoenix
22,Flashed Junk Mind,Milky Chance,Sadnecessary
23,Time to Pretend,MGMT,Oracular Spectacular
24,Levels - Radio Edit,Avicii,College Party Anthems
25,Midnight City,M83,"Hurry Up, We're Dreaming"
26,Sit Next to Me,Foster The People,Sacred Hearts Club
27,Always This Late,ODESZA,In Return
28,If You Don't (feat. Cumulus),ODESZA,Summer's Gone
29,I Want You Tonight,Geowulf,My Resignation
30,Your Way (feat. Day Wave),Jai Wolf,The Cure To Loneliness
31,Stay (feat. Maty Noyes),Kygo,Stay (feat. Maty Noyes)
32,waves - Tame Impala Remix,Miguel,Rogue Waves
33,One More Time,Daft Punk,Discovery
34,Indian Summer,Jai Wolf,Indian Summer
35,This Song Reminds Me Of You,Jai Wolf,The Cure To Loneliness
36,It’s Only (feat. Zyra),ODESZA,In Return
37,High And Low,Empire of the Sun,Two Vines
38,Walking Home to You (RAC Mix),Nick Leng,Walking Home to You (RAC Mix)
39,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery
40,Stolen Dance,Milky Chance,Sadnecessary
41,Cigarette Daydreams,Cage The Elephant,Melophobia
42,We All Have Dreams (with K.Flay),Louis The Child,Here For Now
43,Save Me From Myself (with NoMBe & Big Gigantic),Louis The Child,Kids At Play- EP
44,Better Not (with Wafia),Louis The Child,Kids At Play- EP
45,Fade Into You,Mazzy Star,So Tonight That I Might See
46,We Are The People,Empire of the Sun,Walking On A Dream
47,Drink Too Much,Geowulf,Great Big Blue
48,Let You Go,Nightcall,Let You Go
49,What You Know,Two Door Cinema Club,Tourist History
50,Something Good Can Work,Two Door Cinema Club,Tourist History
51,Shooting Stars,Bag Raiders,Shooting Stars
52,Still Sleeping,Jai Wolf,The Cure To Loneliness
53,Waited 4 U - ODESZA Remix,Slow Magic,Waited 4 U (ODESZA Remix)
54,Something About You - ODESZA Remix,Hayden James,Something About You
55,Sunset Lover,Petit Biscuit,Sunset Lover
56,Problems,Petit Biscuit,Presence
57,We Stayed Up All Night,Tourist,We Stayed Up All Night
58,Take Care,Beach House,Teen Dream
59,Feels Like We Only Go Backwards,Tame Impala,Lonerism
60,Latch,Disclosure,Settle
61,Summer Fade (feat. Anna of the North),Snakehips,Summer Fade (feat. Anna of the North)
62,Another Day in Paradise,Quinn XCII,Change of Scenery
63,Is It True,Tame Impala,The Slow Rush
64,We Belong - Odesza Remix,RAC,We Belong
65,Congratulations,MGMT,Congratulations
66,YOU'RE THE ONE,KAYTRANADA,99.90%
67,Supercut,Lorde,Melodrama
68,Say My Name (feat. Zyra),ODESZA,In Return
69,Can I Call You Tonight?,Dayglow,Fuzzybrain
70,Wave,Whethan,Fantasy
71,False Direction,Dayglow,Fuzzybrain
72,Dreams - 2004 Remaster,Fleetwood Mac,Rumours
73,High You Are,What So Not,High You Are
