low key,Tracks,Artists,Albums
0,That's Life (feat. Mac Miller & Sia),88-Keys,That's Life (feat. Mac Miller & Sia)
1,Faith,The Weeknd,After Hours
2,Chicken Tenders,Dominic Fike,Chicken Tenders
3,Dreams Money Can Buy,Drake,Care Package
4,Scared To Live,The Weeknd,After Hours
5,Georgia,Kevin Abstract,ARIZONA BABY
6,Complicated,Mac Miller,Circles
7,Once A Day,Mac Miller,Circles
8,Good News,Mac Miller,Good News
9,Living Single,Big Sean,Living Single
10,Up All Night,Khalid,Up All Night
11,5 O'Clock (feat. Lily Allen & Wiz Khalifa),T-Pain,5 O'Clock (feat. Lily Allen & Wiz Khalifa)
12,Seasons (with Khalid),6LACK,Seasons (with Khalid)
13,Happy,Roy Blair,Cat Heaven
14,Crumble,Kevin Abstract,ARIZONA BABY
15,Circles,Post Malone,Circles
16,NO HALO,BROCKHAMPTON,GINGER
17,Another Night,Mac Miller,On And On And Beyond
18,I'll Be There,Mac Miller,Best Day Ever
19,Come Back to Earth,Mac Miller,Swimming
20,Coaster,Khalid,Coaster
21,Don't Pretend (feat. SAFE),Khalid,Free Spirit
22,Bad Luck,Khalid,Free Spirit
23,Go Flex,Post Malone,Stoney
24,Stay,Post Malone,beerbongs & bentleys
25,Saved,Khalid,American Teen
26,Keep Me,Khalid,American Teen
27,Cold Blooded,Khalid,American Teen
28,Better,Khalid,Suncity
29,Saturday Nights,Khalid,Suncity
30,From a Distance,Russ,ZOO
31,24/7 (feat. Ella Mai),Meek Mill,Championships
32,Blue World,Mac Miller,Circles
33,BDE Bonus,Mac Miller,Best Day Ever
34,Take Care,Drake,Take Care
35,Practice,Drake,Take Care
36,Marvins Room,Drake,Take Care
37,HYFR (Hell Ya Fucking Right),Drake,Take Care
38,"Hold On, We're Going Home",Drake,Nothing Was The Same
39,Too Much,Drake,Nothing Was The Same
40,Successful (feat. Trey Songz & Lil Wayne),Drake,So Far Gone
41,Feel No Ways,Drake,Views
42,Too Good,Drake,Views
43,Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes
44,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding
45,8TEEN,Khalid,American Teen
46,Save Your Tears,The Weeknd,After Hours
47,After Hours,The Weeknd,After Hours
48,"Psycho, Pt. 2",Russ,"Psycho, Pt. 2"
49,Dennis,Roy Blair,Dennis
50,Jane,Roy Blair,Cat Heaven
51,Circles,Mac Miller,Circles
52,Surf,Mac Miller,Circles
53,That's On Me,Mac Miller,Circles
54,Hand Me Downs,Mac Miller,Circles
55,Wings,Mac Miller,Swimming
56,So It Goes,Mac Miller,Swimming
57,Small Worlds,Mac Miller,Swimming
58,We (feat. CeeLo Green),Mac Miller,The Divine Feminine
59,Nights,Frank Ocean,Blonde
60,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",Flower Boy
61,Woods,Mac Miller,Circles
62,Lost Ones,J. Cole,Cole World: The Sideline Story
63,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.
64,Devil In A New Dress,Kanye West,My Beautiful Dark Twisted Fantasy
65,Tadow,Masego,Lady Lady
66,Money Trees,Kendrick Lamar,"good kid, m.A.A.d city"
67,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city"
68,Swimming Pools (Drank) - Extended Version,Kendrick Lamar,"good kid, m.A.A.d city"
69,Too Young,Post Malone,Too Young
70,A Thousand Bad Times,Post Malone,Hollywood's Bleeding
71,All I Want Is You,Mac Miller,K.I.D.S.
72,Erase Me - Main,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager
73,Mojo So Dope,Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager
74,White Iverson,Post Malone,White Iverson
75,No Sleep,Wiz Khalifa,Rolling Papers
76,Cameras,Wiz Khalifa,Rolling Papers
77,French Inhale (feat. Mike Posner),Snoop Dogg,Mac and Devin Go to High School (Music from and Inspired by the Movie)
78,We Just Havent Met Yet,Russ,We Just Havent Met Yet
79,Half Naked & Almost Famous,Machine Gun Kelly,Half Naked & Almost Famous - EP
80,The Ways (with Swae Lee),Khalid,Black Panther The Album Music From And Inspired By
81,Super Rich Kids,Frank Ocean,channel ORANGE
82,Forrest Gump,Frank Ocean,channel ORANGE
83,Time,Free Nationals,Time
84,Hand Me Downs,Mac Miller,Circles
85,Fashion Killa,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version)
86,Demon,Lil Wayne,Tha Carter V
87,Let It All Work Out,Lil Wayne,Tha Carter V
88,Potato Salad,"Tyler, The Creator",Potato Salad
89,Cherry Hill,Russ,There's Really A Wolf
90,Boy Back (feat. NAV),Young Thug,So Much Fun
91,Relationship (feat. Future),Young Thug,Beautiful Thugger Girls
