,Date,Time,Distance (mi),Elevation (ft),Time (min),Avg_Pace,Total_Seconds,Speed
0,7/15/20,0:32:24,3.82,53,32.4,8,1944,Slow
1,7/17/20,0:06:00,1.06,27,6,6,360,Fast
2,7/18/20,2:12:12,7.55,"1,139",132.2,18,7932,Slow
3,7/20/20,0:14:14,2,30,14.23,7,854,Fast
4,7/23/20,0:19:49,3.04,76,19.82,7,1189,Fast
5,7/26/20,0:13:39,1.98,49,13.65,7,819,Fast
6,7/27/20,1:46:47,6.5,"1,955",106.78,16,6407,Slow
7,7/29/20,0:12:13,1.73,27,12.22,7,733,Fast
8,8/2/20,0:14:05,2,43,14.08,7,845,Fast
9,8/4/20,1:17:35,4.78,"1,666",77.58,16,4655,Slow
10,8/14/20,0:09:56,1.15,20,9.93,9,596,Slow
11,8/15/20,0:13:43,1.88,35,13.72,7,823,Fast
12,8/19/20,0:09:56,1.48,15,9.93,7,596,Fast
13,8/20/20,0:10:29,1.57,19,10.48,7,629,Fast
14,8/21/20,0:10:01,1.51,17,10.02,7,601,Fast
15,8/23/20,0:10:54,1.51,17,10.9,7,654,Fast
16,8/24/20,0:12:05,1.8,17,12.08,7,725,Fast
17,8/25/20,0:13:10,2,19,13.17,7,790,Fast
18,8/26/20,0:13:39,2,19,13.65,7,819,Fast
19,8/27/20,0:13:31,2,19,13.52,7,811,Fast
20,8/31/20,0:12:41,2,21,12.68,6,761,Fast
21,9/2/20,0:11:37,1.7,20,11.62,7,697,Fast
22,9/5/20,0:13:40,2,20,13.67,7,820,Fast
23,9/7/20,0:13:06,1.95,22,13.1,7,786,Fast
24,9/11/20,0:10:24,1.53,15,10.4,7,624,Fast
25,9/15/20,0:14:28,1.95,19,14.47,7,868,Fast
26,9/19/20,0:09:25,1,8,9.42,9,565,Slow
27,9/23/20,0:10:43,1.5,20,10.72,7,643,Fast
28,9/30/20,0:10:06,1.5,15,10.1,7,606,Fast
29,10/7/20,0:09:36,1.5,15,9.6,6,576,Fast
30,10/9/20,0:14:54,2,19,14.9,7,894,Fast
31,10/10/20,0:10:23,1.5,17,10.38,7,623,Fast
32,10/12/20,0:10:17,1.6,19,10.28,6,617,Fast
33,10/23/20,0:05:06,1,11,5.1,5,306,Fast
34,10/26/20,0:06:56,1,14,6.93,7,416,Fast
35,10/30/20,0:06:41,1.1,11,6.68,6,401,Fast
36,11/2/20,0:14:00,2,20,14,7,840,Fast
37,11/7/20,0:07:38,1.15,10,7.63,7,458,Fast
38,11/12/20,0:08:51,1.36,15,8.85,7,531,Fast
39,11/13/20,0:07:30,1,14,7.5,8,450,Slow
40,11/16/20,0:11:00,1.56,18,11,7,660,Fast
41,11/17/20,0:13:48,2,20,13.8,7,828,Fast
42,11/20/20,0:10:11,1.52,12,10.18,7,611,Fast
43,11/25/20,0:26:00,3,160,26,9,1560,Slow
44,11/26/20,0:19:14,2.24,657,19.23,9,1154,Slow
